Instrument,Company Common Name,Date,Short-Term Debt & Current Portion of Long-Term Debt,Debt - Non-Convertible - Long-Term,Capitalized Lease Obligations - Long-Term,Current Portion of Long-Term Debt excl Capitalized Leases,Capitalized Leases - Current Portion,NAICS Sector Code,NAICS Sector Name,NAICS Subsector Code,NAICS Subsector Name,NAICS National Industry Code,NAICS National Industry Name,NAICS Industry Group Code,NAICS Industry Group Name,Country of Exchange,Exchange Name
DK0060534915,,2015-12-31T00:00:00Z,1073000000.0,,,,,,,,,,,,,,
DK0060534915,,2016-12-31T00:00:00Z,229000000.0,,,,,,,,,,,,,,
DK0060534915,,2017-12-31T00:00:00Z,1694000000.0,,,,,,,,,,,,,,
DK0060534915,,2018-12-31T00:00:00Z,515000000.0,,,,,,,,,,,,,,
DK0060534915,,2019-12-31T00:00:00Z,1474000000.0,,3009000000.0,,815000000.0,,,,,,,,,,
DK0060534915,,2020-12-31T00:00:00Z,7459000000.0,,2897000000.0,,775000000.0,,,,,,,,,,
DK0060534915,,2021-12-31T00:00:00Z,13684000000.0,9654000000.0,3307000000.0,,822000000.0,,,,,,,,,,
DK0060534915,,2022-12-31T00:00:00Z,1466000000.0,20775000000.0,3543000000.0,,986000000.0,,,,,,,,,,
DK0015250344,ALM. Brand A/S,1994-12-31T00:00:00Z,,,,,,52,Finance and Insurance,524,Insurance Carriers and Related Activities,524126,Direct Property and Casualty Insurance Carriers,5241,Insurance Carriers,Denmark,NASDAQ COPENHAGEN A/S
DK0015250344,,1995-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0015250344,,1996-12-31T00:00:00Z,0.0,,,,,,,,,,,,,,
DK0015250344,,1997-12-31T00:00:00Z,113000000.0,113000000.0,,,,,,,,,,,,,
DK0015250344,,1998-12-31T00:00:00Z,214000000.0,214000000.0,,,,,,,,,,,,,
DK0015250344,,1999-12-31T00:00:00Z,213000000.0,213000000.0,,,,,,,,,,,,,
DK0015250344,,2000-12-31T00:00:00Z,489000000.0,489000000.0,,,,,,,,,,,,,
DK0015250344,,2001-12-31T00:00:00Z,479000000.0,479000000.0,,,,,,,,,,,,,
DK0015250344,,2002-12-31T00:00:00Z,759000000.0,759000000.0,,,,,,,,,,,,,
DK0015250344,,2003-12-31T00:00:00Z,327000000.0,327000000.0,,,,,,,,,,,,,
DK0015250344,,2004-12-31T00:00:00Z,,3751000000.0,,,,,,,,,,,,,
DK0015250344,,2005-12-31T00:00:00Z,,8015000000.0,,,,,,,,,,,,,
DK0015250344,,2006-12-31T00:00:00Z,,8697000000.0,,,,,,,,,,,,,
DK0015250344,,2007-12-31T00:00:00Z,,11888000000.0,,,,,,,,,,,,,
DK0015250344,,2008-12-31T00:00:00Z,,11387000000.0,,,,,,,,,,,,,
DK0015250344,,2009-12-31T00:00:00Z,,15007000000.0,,,,,,,,,,,,,
DK0015250344,,2010-12-31T00:00:00Z,,16276000000.0,,,,,,,,,,,,,
DK0015250344,,2011-12-31T00:00:00Z,,12472000000.0,,,,,,,,,,,,,
DK0015250344,,2012-12-31T00:00:00Z,,7872000000.0,,,,,,,,,,,,,
DK0015250344,,2013-12-31T00:00:00Z,,3840000000.0,,,,,,,,,,,,,
DK0015250344,,2014-12-31T00:00:00Z,,2567000000.0,,,,,,,,,,,,,
DK0015250344,,2015-12-31T00:00:00Z,,1289000000.0,,,,,,,,,,,,,
DK0015250344,,2016-12-31T00:00:00Z,,1268000000.0,,,,,,,,,,,,,
DK0015250344,,2017-12-31T00:00:00Z,,906000000.0,,,,,,,,,,,,,
DK0015250344,,2018-12-31T00:00:00Z,,1006000000.0,,,,,,,,,,,,,
DK0015250344,,2019-12-31T00:00:00Z,,1413000000.0,176000000.0,,,,,,,,,,,,
DK0015250344,,2020-12-31T00:00:00Z,,1470000000.0,127000000.0,,,,,,,,,,,,
DK0015250344,,2021-12-31T00:00:00Z,,1767000000.0,,,,,,,,,,,,,
DK0015250344,,2022-12-31T00:00:00Z,,1587000000.0,,,,,,,,,,,,,
DK0010274414,Danske Bank A/S,1993-12-31T00:00:00Z,,,,,,52,Finance and Insurance,522,Credit Intermediation and Related Activities,522110,Commercial Banking,5221,Depository Credit Intermediation,Denmark,NASDAQ COPENHAGEN A/S
DK0010274414,,1994-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,1995-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,1996-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,1997-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,1998-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,1999-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,2000-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,2001-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,2002-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,2003-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010274414,,2004-12-31T00:00:00Z,,190255000000.0,,,,,,,,,,,,,
DK0010274414,,2005-12-31T00:00:00Z,,251099000000.0,,,,,,,,,,,,,
DK0010274414,,2006-12-31T00:00:00Z,,293736000000.0,,,,,,,,,,,,,
DK0010274414,,2007-12-31T00:00:00Z,,921084000000.0,,,,,,,,,,,,,
DK0010274414,,2008-12-31T00:00:00Z,,1006140000000.0,,,,,,,,,,,,,
DK0010274414,,2009-12-31T00:00:00Z,,1031656000000.0,,,,,,,,,,,,,
DK0010274414,,2010-12-31T00:00:00Z,,1005705000000.0,,,,,,,,,,,,,
DK0010274414,,2011-12-31T00:00:00Z,215796000000.0,924619000000.0,,,,,,,,,,,,,
DK0010274414,,2012-12-31T00:00:00Z,657568000000.0,723823000000.0,,298292000000.0,,,,,,,,,,,
DK0010274414,,2013-12-31T00:00:00Z,584246000000.0,737439000000.0,,253155000000.0,,,,,,,,,,,
DK0010274414,,2014-12-31T00:00:00Z,,986172000000.0,,,,,,,,,,,,,
DK0010274414,,2015-12-31T00:00:00Z,455286000000.0,820611000000.0,,277830000000.0,,,,,,,,,,,
DK0010274414,,2016-12-31T00:00:00Z,499904000000.0,856896000000.0,,300180000000.0,,,,,,,,,,,
DK0010274414,,2017-12-31T00:00:00Z,547218000000.0,865729000000.0,,326846000000.0,,,,,,,,,,,
DK0010274414,,2018-12-31T00:00:00Z,511948000000.0,844895000000.0,,249767000000.0,,,,,,,,,,,
DK0010274414,,2019-12-31T00:00:00Z,504174000000.0,905740000000.0,5526000000.0,271903000000.0,,,,,,,,,,,
DK0010274414,,2020-12-31T00:00:00Z,453661000000.0,929914000000.0,4761000000.0,238394000000.0,,,,,,,,,,,
DK0010274414,,2021-12-31T00:00:00Z,421724000000.0,937405000000.0,3909000000.0,228333000000.0,,,,,,,,,,,
DK0010274414,,2022-12-31T00:00:00Z,327631000000.0,831946000000.0,2743000000.0,189709000000.0,,,,,,,,,,,
DK0010307958,Jyske Bank A/S,1995-12-31T00:00:00Z,,0.0,,,,52,Finance and Insurance,522,Credit Intermediation and Related Activities,522110,Commercial Banking,5221,Depository Credit Intermediation,Denmark,NASDAQ COPENHAGEN A/S
DK0010307958,,1996-12-31T00:00:00Z,,0.0,,,,,,,,,,,,,
DK0010307958,,1997-12-31T00:00:00Z,,0.0,,,,,,,,,,,,,
DK0010307958,,1998-12-31T00:00:00Z,,622812000.0,,,,,,,,,,,,,
DK0010307958,,1999-12-31T00:00:00Z,,191773000.0,,,,,,,,,,,,,
DK0010307958,,2000-12-31T00:00:00Z,,26902349000.0,,,,,,,,,,,,,
DK0010307958,,2001-12-31T00:00:00Z,,36963824000.0,,,,,,,,,,,,,
DK0010307958,,2002-12-31T00:00:00Z,,43361563000.0,,,,,,,,,,,,,
DK0010307958,,2003-12-31T00:00:00Z,,8063943000.0,,,,,,,,,,,,,
DK0010307958,,2004-12-31T00:00:00Z,1152958000.0,11914626000.0,,,,,,,,,,,,,
DK0010307958,,2005-12-31T00:00:00Z,2500865000.0,15966610000.0,,,,,,,,,,,,,
DK0010307958,,2006-12-31T00:00:00Z,3134871000.0,25393117000.0,3622287000.0,,1411008000.0,,,,,,,,,,
DK0010307958,,2007-12-31T00:00:00Z,3729978000.0,34873906000.0,4035962000.0,,1563255000.0,,,,,,,,,,
DK0010307958,,2008-12-31T00:00:00Z,4322514000.0,36924745000.0,4184806000.0,,1573877000.0,,,,,,,,,,
DK0010307958,,2009-12-31T00:00:00Z,,50301000000.0,,,,,,,,,,,,,
DK0010307958,,2010-12-31T00:00:00Z,4543220000.0,45382904000.0,3077050000.0,,1764956000.0,,,,,,,,,,
DK0010307958,,2011-12-31T00:00:00Z,4460000000.0,37482000000.0,3363000000.0,,1881000000.0,,,,,,,,,,
DK0010307958,,2012-12-31T00:00:00Z,66891000000.0,-27279000000.0,3933000000.0,62200000000.0,2218000000.0,,,,,,,,,,
DK0010307958,,2013-12-31T00:00:00Z,22725000000.0,9262000000.0,,18498000000.0,,,,,,,,,,,
DK0010307958,,2014-12-31T00:00:00Z,3956000000.0,251952000000.0,,,,,,,,,,,,,
DK0010307958,,2015-12-31T00:00:00Z,43019000000.0,239851000000.0,,39542000000.0,,,,,,,,,,,
DK0010307958,,2016-12-31T00:00:00Z,72915000000.0,253291000000.0,,68949000000.0,,,,,,,,,,,
DK0010307958,,2017-12-31T00:00:00Z,58327000000.0,286900000000.0,,54632000000.0,,,,,,,,,,,
DK0010307958,,2018-12-31T00:00:00Z,68487000000.0,294581000000.0,,65193000000.0,,,,,,,,,,,
DK0010307958,,2019-12-31T00:00:00Z,103792000000.0,295800000000.0,369000000.0,99804000000.0,,,,,,,,,,,
DK0010307958,,2020-12-31T00:00:00Z,128148000000.0,292395000000.0,302000000.0,120437000000.0,72000000.0,,,,,,,,,,
DK0010307958,,2021-12-31T00:00:00Z,130074000000.0,288980000000.0,313000000.0,124495000000.0,72000000.0,,,,,,,,,,
DK0010160167,Nordea Companies Denmark NCD A/S,,,,,,,52,Finance and Insurance,522,Credit Intermediation and Related Activities,522110,Commercial Banking,5221,Depository Credit Intermediation,United States of America,
DK0015203269,Hafnia Holding A/S,,,,,,,,,,,,,,,Denmark,
DK0010288638,Scandi Co 3 A/S Under frivillig likvidation,,,1126000000.0,,,,52,Finance and Insurance,524,Insurance Carriers and Related Activities,524113,Direct Life Insurance Carriers,5241,Insurance Carriers,Denmark,
DK0010288638,,,,287000000.0,,,,,,,,,,,,,
DK0010288638,,,,192000000.0,,,,,,,,,,,,,
DK0010288638,,,,261000000.0,,,,,,,,,,,,,
DK0010288638,,,,220000000.0,,,,,,,,,,,,,
DK0010288638,,,,159000000.0,,,,,,,,,,,,,
DK0010288638,,,,579000000.0,,,,,,,,,,,,,
DK0010288638,,,,528000000.0,,,,,,,,,,,,,
DK0010288638,,,,484000000.0,,,,,,,,,,,,,
DK0010288638,,,,427000000.0,48000000.0,,,,,,,,,,,,
DK0010288638,,,,413000000.0,,,,,,,,,,,,,
DK0010288638,,,,418000000.0,,,,,,,,,,,,,
DK0010288638,,,,400000000.0,,,,,,,,,,,,,
DK0010288638,,,,427000000.0,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0010288638,,,,,,,,,,,,,,,,,
DK0060477503,Topdanmark A/S,1995-12-31T00:00:00Z,394000000.0,993000000.0,,,,52,Finance and Insurance,524,Insurance Carriers and Related Activities,524126,Direct Property and Casualty Insurance Carriers,5241,Insurance Carriers,Denmark,NASDAQ COPENHAGEN A/S
DK0060477503,,1996-12-31T00:00:00Z,,1246000000.0,,,,,,,,,,,,,
DK0060477503,,1997-12-31T00:00:00Z,,553000000.0,,,,,,,,,,,,,
DK0060477503,,1998-12-31T00:00:00Z,,1326000000.0,,,,,,,,,,,,,
DK0060477503,,1999-12-31T00:00:00Z,,792000000.0,,,,,,,,,,,,,
DK0060477503,,2000-12-31T00:00:00Z,4000000.0,1665000000.0,,,,,,,,,,,,,
DK0060477503,,2001-12-31T00:00:00Z,,2292000000.0,,,,,,,,,,,,,
DK0060477503,,2002-12-31T00:00:00Z,,2117000000.0,,,,,,,,,,,,,
DK0060477503,,2003-12-31T00:00:00Z,,1366000000.0,,,,,,,,,,,,,
DK0060477503,,2004-12-31T00:00:00Z,,2076000000.0,,,,,,,,,,,,,
DK0060477503,,2005-12-31T00:00:00Z,,2906000000.0,,,,,,,,,,,,,
DK0060477503,,2006-12-31T00:00:00Z,,1825000000.0,,,,,,,,,,,,,
DK0060477503,,2007-12-31T00:00:00Z,8000000.0,1202000000.0,7000000.0,,8000000.0,,,,,,,,,,
DK0060477503,,2008-12-31T00:00:00Z,5000000.0,8485000000.0,5000000.0,,5000000.0,,,,,,,,,,
DK0060477503,,2009-12-31T00:00:00Z,6000000.0,7298000000.0,10000000.0,,6000000.0,,,,,,,,,,
DK0060477503,,2010-12-31T00:00:00Z,5000000.0,4663000000.0,7000000.0,,5000000.0,,,,,,,,,,
DK0060477503,,2011-12-31T00:00:00Z,4000000.0,7219000000.0,3000000.0,,4000000.0,,,,,,,,,,
DK0060477503,,2012-12-31T00:00:00Z,6000000.0,3234000000.0,8000000.0,,6000000.0,,,,,,,,,,
DK0060477503,,2013-12-31T00:00:00Z,,3372000000.0,,,,,,,,,,,,,
DK0060477503,,2014-12-31T00:00:00Z,,3146000000.0,,,,,,,,,,,,,
DK0060477503,,2015-12-31T00:00:00Z,,3500000000.0,,,,,,,,,,,,,
DK0060477503,,2016-12-31T00:00:00Z,,1798000000.0,,,,,,,,,,,,,
DK0060477503,,2017-12-31T00:00:00Z,,1787000000.0,,,,,,,,,,,,,
DK0060477503,,2018-12-31T00:00:00Z,,1988000000.0,,,,,,,,,,,,,
DK0060477503,,2019-12-31T00:00:00Z,,1902000000.0,,,,,,,,,,,,,
DK0060477503,,2020-12-31T00:00:00Z,,3099000000.0,,,,,,,,,,,,,
DK0060477503,,2021-12-31T00:00:00Z,,2351000000.0,,,,,,,,,,,,,
DK0060477503,,2022-12-31T00:00:00Z,,1271000000.0,,,,,,,,,,,,,
DK0010126309,Realdanmark A/S (Oploest),,,,,,,52,Finance and Insurance,522,Credit Intermediation and Related Activities,522110,Commercial Banking,5221,Depository Credit Intermediation,Denmark,
DK0010237056,Olicom A/S,,,,,,,53,Real Estate and Rental and Leasing,531,Real Estate,531110,Lessors of Residential Buildings and Dwellings,5311,Lessors of Real Estate,Denmark,
DK0060228559,TDC Holding A/S,1993-12-31T00:00:00Z,,,,,,51,Information,517,Telecommunications,517111,Wired Telecommunications Carriers,5171,Wired and Wireless Telecommunications (except Satellite),Denmark,
DK0060228559,,1994-12-31T00:00:00Z,1599000000.0,3115000000.0,,,,,,,,,,,,,
DK0060228559,,1995-12-31T00:00:00Z,1927000000.0,2584000000.0,,,,,,,,,,,,,
DK0060228559,,1996-12-31T00:00:00Z,2476000000.0,5075000000.0,,,,,,,,,,,,,
DK0060228559,,1997-12-31T00:00:00Z,4163000000.0,3356000000.0,,,,,,,,,,,,,
DK0060228559,,1998-12-31T00:00:00Z,3402000000.0,5905000000.0,,,,,,,,,,,,,
DK0060228559,,1999-12-31T00:00:00Z,5266000000.0,9585000000.0,,,,,,,,,,,,,
DK0060228559,,2000-12-31T00:00:00Z,7648000000.0,12385000000.0,,,,,,,,,,,,,
DK0060228559,,2001-12-31T00:00:00Z,15052000000.0,22133000000.0,,,,,,,,,,,,,
DK0060228559,,2002-12-31T00:00:00Z,2357000000.0,28794000000.0,,,,,,,,,,,,,
DK0060228559,,2003-12-31T00:00:00Z,3314000000.0,32974000000.0,,,,,,,,,,,,,
DK0060228559,,2004-12-31T00:00:00Z,1337000000.0,29142000000.0,600000000.0,,,,,,,,,,,,
DK0060228559,,2005-12-31T00:00:00Z,5425000000.0,24890000000.0,608000000.0,,,,,,,,,,,,
DK0060228559,,2006-12-31T00:00:00Z,1975000000.0,56774000000.0,,,,,,,,,,,,,
DK0060228559,,2007-12-31T00:00:00Z,4146000000.0,45571000000.0,,,,,,,,,,,,,
DK0060228559,,2008-12-31T00:00:00Z,4713000000.0,37037000000.0,,,,,,,,,,,,,
DK0060228559,,2009-12-31T00:00:00Z,3787000000.0,30611000000.0,,,,,,,,,,,,,
DK0060228559,,2010-12-31T00:00:00Z,216000000.0,23278000000.0,150000000.0,,59000000.0,,,,,,,,,,
DK0060228559,,2011-12-31T00:00:00Z,3816000000.0,19235000000.0,169000000.0,,79000000.0,,,,,,,,,,
DK0060228559,,2012-12-31T00:00:00Z,170000000.0,23774000000.0,,,,,,,,,,,,,
DK0060228559,,2013-12-31T00:00:00Z,133000000.0,23356000000.0,,,,,,,,,,,,,
DK0060228559,,2014-12-31T00:00:00Z,20051000000.0,18630000000.0,,,,,,,,,,,,,
DK0060228559,,2015-12-31T00:00:00Z,200000000.0,27398000000.0,,,,,,,,,,,,,
DK0060228559,,2016-12-31T00:00:00Z,220000000.0,23966000000.0,,,,,,,,,,,,,
DK0060228559,,2017-12-31T00:00:00Z,4651000000.0,17282000000.0,,,,,,,,,,,,,
DK0060228559,,2018-12-31T00:00:00Z,128000000.0,21691000000.0,61000000.0,117000000.0,11000000.0,,,,,,,,,,
DK0060228559,,2019-12-31T00:00:00Z,1263000000.0,22976000000.0,4751000000.0,91000000.0,491000000.0,,,,,,,,,,
DK0060228559,,2020-12-31T00:00:00Z,524000000.0,22690000000.0,3818000000.0,30000000.0,489000000.0,,,,,,,,,,
DK0060228559,,2021-12-31T00:00:00Z,4956000000.0,19624000000.0,3657000000.0,3911000000.0,475000000.0,,,,,,,,,,
DK0010181759,Carlsberg A/S,2004-12-31T00:00:00Z,3357000000.0,21604000000.0,104000000.0,3316000000.0,41000000.0,31-33,Manufacturing,312,Beverage and Tobacco Product Manufacturing,312120,Breweries,3121,Beverage Manufacturing,Denmark,NASDAQ COPENHAGEN A/S
DK0010181759,,2005-12-31T00:00:00Z,8213000000.0,17671000000.0,94000000.0,8173000000.0,40000000.0,,,,,,,,,,
DK0010181759,,2006-12-31T00:00:00Z,6556000000.0,16181000000.0,60000000.0,6529000000.0,27000000.0,,,,,,,,,,
DK0010181759,,2007-12-31T00:00:00Z,3869000000.0,19348000000.0,37000000.0,3841000000.0,28000000.0,,,,,,,,,,
DK0010181759,,2008-12-31T00:00:00Z,5291000000.0,43202000000.0,28000000.0,5272000000.0,19000000.0,,,,,,,,,,
DK0010181759,,2009-12-31T00:00:00Z,3322000000.0,36062000000.0,13000000.0,3305000000.0,17000000.0,,,,,,,,,,
DK0010181759,,2010-12-31T00:00:00Z,3959000000.0,32541000000.0,46000000.0,3940000000.0,19000000.0,,,,,,,,,,
DK0010181759,,2011-12-31T00:00:00Z,1875000000.0,34326000000.0,38000000.0,1861000000.0,14000000.0,,,,,,,,,,
DK0010181759,,2012-12-31T00:00:00Z,3352000000.0,36706000000.0,,3352000000.0,,,,,,,,,,,
DK0010181759,,2013-12-31T00:00:00Z,9417000000.0,30239000000.0,,9417000000.0,,,,,,,,,,,
DK0010181759,,2014-12-31T00:00:00Z,1835000000.0,38690000000.0,,1835000000.0,,,,,,,,,,,
DK0010181759,,2015-12-31T00:00:00Z,4549000000.0,31479000000.0,,4549000000.0,,,,,,,,,,,
DK0010181759,,2016-12-31T00:00:00Z,9067000000.0,21137000000.0,,9067000000.0,,,,,,,,,,,
DK0010181759,,2017-12-31T00:00:00Z,849000000.0,23340000000.0,,849000000.0,,,,,,,,,,,
DK0010181759,,2018-12-31T00:00:00Z,7233000000.0,16750000000.0,,7233000000.0,,,,,,,,,,,
DK0010181759,,2019-12-31T00:00:00Z,4112000000.0,19714000000.0,1165000000.0,3688000000.0,424000000.0,,,,,,,,,,
DK0010181759,,2020-12-31T00:00:00Z,959000000.0,28211000000.0,1080000000.0,561000000.0,398000000.0,,,,,,,,,,
DK0010181759,,2021-12-31T00:00:00Z,6167000000.0,21743000000.0,1012000000.0,5792000000.0,375000000.0,,,,,,,,,,
DK0010181759,,2022-12-31T00:00:00Z,5781000000.0,21662000000.0,1203000000.0,5391000000.0,390000000.0,,,,,,,,,,
DK0010207497,Dupont Nutrition Biosciences ApS,1994-04-30T00:00:00Z,1803500000.0,3943700000.0,9200000.0,1780700000.0,22800000.0,31-33,Manufacturing,325,Chemical Manufacturing,325199,All Other Basic Organic Chemical Manufacturing,3251,Basic Chemical Manufacturing,Denmark,
DK0010207497,,1995-04-30T00:00:00Z,723700000.0,3387000000.0,200000.0,713500000.0,10200000.0,,,,,,,,,,
DK0010207497,,1996-04-30T00:00:00Z,1269100000.0,2947900000.0,0.0,1237300000.0,31800000.0,,,,,,,,,,
DK0010207497,,1997-04-30T00:00:00Z,1388000000.0,1750000000.0,,1325000000.0,63000000.0,,,,,,,,,,
DK0010207497,,1998-04-30T00:00:00Z,3164000000.0,421000000.0,,3131000000.0,33000000.0,,,,,,,,,,
DK0010207497,,1999-04-30T00:00:00Z,3662000000.0,3108000000.0,0.0,3613000000.0,49000000.0,,,,,,,,,,
DK0010207497,,2000-04-30T00:00:00Z,6577000000.0,8898000000.0,18000000.0,6563000000.0,14000000.0,,,,,,,,,,
DK0010207497,,2001-04-30T00:00:00Z,2943000000.0,9442000000.0,7000000.0,2934000000.0,9000000.0,,,,,,,,,,
DK0010207497,,2002-04-30T00:00:00Z,6631000000.0,3223000000.0,6000000.0,6630000000.0,1000000.0,,,,,,,,,,
DK0010207497,,2003-04-30T00:00:00Z,2974000000.0,6856000000.0,5000000.0,2973000000.0,1000000.0,,,,,,,,,,
DK0010207497,,2004-04-30T00:00:00Z,2789000000.0,5802000000.0,4000000.0,2788000000.0,1000000.0,,,,,,,,,,
DK0010207497,,2005-04-30T00:00:00Z,8270000000.0,6117000000.0,64000000.0,8264000000.0,6000000.0,,,,,,,,,,
DK0010207497,,2006-04-30T00:00:00Z,8158000000.0,5469000000.0,41000000.0,8154000000.0,4000000.0,,,,,,,,,,
DK0010207497,,2007-04-30T00:00:00Z,6264000000.0,6279000000.0,37000000.0,6260000000.0,4000000.0,,,,,,,,,,
DK0010207497,,2008-04-30T00:00:00Z,4882000000.0,4960000000.0,33000000.0,4878000000.0,4000000.0,,,,,,,,,,
DK0010207497,,2009-04-30T00:00:00Z,1863000000.0,3691000000.0,33000000.0,1861000000.0,2000000.0,,,,,,,,,,
DK0010207497,,2010-04-30T00:00:00Z,1727000000.0,2497000000.0,29000000.0,1725000000.0,2000000.0,,,,,,,,,,
DK0010207497,,2011-12-01T00:00:00Z,,,,,,,,,,,,,,,
DK0010207497,,2012-12-01T00:00:00Z,,,,,,,,,,,,,,,
DK0010207497,,2013-12-01T00:00:00Z,,,,,,,,,,,,,,,
DK0010207497,,2014-12-01T00:00:00Z,,,,,,,,,,,,,,,
DK0010207497,,2015-12-01T00:00:00Z,,,,,,,,,,,,,,,
DK0010207497,,2018-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010207497,,2019-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010207497,,2020-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010238534,Berendsen A/S,1998-12-31T00:00:00Z,1951500000.0,332400000.0,,,,53,Real Estate and Rental and Leasing,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Denmark,
DK0010238534,,1999-12-31T00:00:00Z,1445100000.0,1018100000.0,,,,,,,,,,,,,
DK0010238534,,2000-12-31T00:00:00Z,1252000000.0,496500000.0,,,,,,,,,,,,,
DK0010238534,,2001-12-31T00:00:00Z,144900000.0,108000000.0,,,,,,,,,,,,,
DK0010238534,,2002-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010238534,,2003-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010238534,,2004-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010238534,,2005-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010238534,,2006-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010238534,,2007-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010238534,,2008-12-31T00:00:00Z,,,,,,,,,,,,,,,
DK0010238534,,2009-12-31T00:00:00Z,,,,,,,,,,,,,,,
